INFO:root:Scraped at: 2024-08-06 10:54:39.442004, Percent change from open: -17.225201072386064, Percent change from Average: -22.00387321210139, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-08-06 10:56:22.148625, Percent change from open: -17.69436997319035, Percent change from Average: -22.44595652183037, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-08-30 10:34:37.535795, Percent change from open: -5.590062111801234, Percent change from Average: -32.80333692119504, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-08-30 11:04:56.951282, Percent change from open: -5.146406388642414, Percent change from Average: -32.48756312853149, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-08-30 11:35:38.043662, Percent change from open: -5.412599822537706, Percent change from Average: -32.67702740412962, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-08-30 12:05:52.474014, Percent change from open: -5.2351375332741785, Percent change from Average: -32.550717887064195, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-08-30 12:36:53.944767, Percent change from open: -4.8802129547471065, Percent change from Average: -32.29809885293334, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-08-30 13:07:34.884661, Percent change from open: -4.8802129547471065, Percent change from Average: -32.29809885293334, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-08-30 13:38:17.408169, Percent change from open: -4.968944099378871, Percent change from Average: -32.361253611466054, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-03 08:07:30.587482, Percent change from open: -15.439219165927243, Percent change from Average: -39.813515118326016, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-03 08:38:10.070042, Percent change from open: -14.729370008873117, Percent change from Average: -39.30827705006432, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-03 09:08:29.700009, Percent change from open: -14.46317657497781, Percent change from Average: -39.11881277446618, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-03 09:38:47.867994, Percent change from open: -17.480035492457844, Percent change from Average: -41.26607456457837, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-03 10:09:09.031552, Percent change from open: -18.278615794143736, Percent change from Average: -41.83446739137277, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-03 10:39:28.795812, Percent change from open: -18.633540372670804, Percent change from Average: -42.08708642550362, Average price: 15.834119601328906
INFO:root:Scraped at: 2024-09-03 11:09:49.743912, Percent change from open: -19.609582963620223, Percent change from Average: -42.781788769363445, Average price: 15.834119601328906
